smiles,value,target_id
[O-][S+](CCO)CCn1ccc2[nH]cnc(=Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,17.0,[0]
[O-][S+](CCO)CCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,17.0,[0]
[O-][S+]1CCN(CCCOc2ccc([C@H]3CC[C@]4(CC3)OOC3(O4)C4CC5CC(C4)CC3C5)cc2)CC1,55.0,[0]
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,66.0,[0]
C#Cc1ccc([C@H](C)NC(=O)N(C)C2CCN(C3CCc4cc(-c5cc(C)ncn5)ccc43)CC2)c(Cl)c1Cl,165.1,[0]
C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,8.0,[0]
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,2.7513227510000005,[0]
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,2.7513227510000005,[0]
C#CCn1c(=O)n(CC#N)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,10.0,[0]
C#CCn1c(=O)n(Cc2cc(C)no2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,72.0,[0]
C#CCn1c(=O)n(Cc2cnc(C)s2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,100.0,[0]
C#CCn1c(=O)n(Cc2cnn(C)c2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,42.0,[0]
C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1,37.0,[0]
C(#Cc1ncn2c1COc1ccccc1-2)c1cccnc1,14.0,[0]
C/C(=C\c1nc(Cn2cnc3ncccc3c2=O)no1)c1ccc(Cl)cc1,25.0,[0]
C/C(=C\c1nc(Cn2cnc3ncn(C)c3c2=O)no1)c1ccc(Cl)cc1,76.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)N=c3cc[nH]cn3)CCC1CC2)(c1ccccc1)N1CCCCC1,37.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)N=c3cccn[nH]3)CCC1CC2)(c1ccccc1)N1CCCCC1,79.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)N=c3cco[nH]3)CCC1CC2)(c1ccccc1)N1CCCCC1,58.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)N=c3cncc(Cl)[nH]3)CCC1CC2)(c1cccs1)N1CCCCC1,89.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)N=c3cncc[nH]3)CCC1CC2)(c1ccccc1)N1CCCCC1,60.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3cccc(F)c3)CCC1CC2)(c1ccccc1)N1CCCCC1,34.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3cccc(F)c3)CCC1CC2)(c1cccs1)N1CCCCC1,56.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3ccccc3)CCC1CC2)(c1ccccc1)N1CCCCC1,62.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3ccccc3)CCC1CC2)(c1cccs1)N1CCCCC1,79.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3ccccn3)CCC1CC2)(c1ccccc1)N1CCCCC1,66.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(N)=O)CCC1CC2)(c1ccccc1)N1CCCCC1,45.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CC(N)=O)CCC1CC2)(c1cccs1)N1CCCCC1,75.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(Cc3cc(-c4ccccc4)no3)CCC1CC2)(c1cccs1)N1CCCCC1,147.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(Cc3nc(-c4ccccc4)no3)CCC1CC2)(c1ccccc1)N1CCCCC1,53.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(Cc3noc(-c4ccccc4)n3)CCC1CC2)(c1cccs1)N1CCCCC1,32.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CCC3=CC4CCOC4C=C3)CCC1CC2)(c1ccccc1)N1CCCCC1,98.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CCc3c[nH]c4ccccc34)CCC1CC2)(c1ccccc1)N1CCCCC1,66.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CCc3ccc(F)cc3)CCC1CC2)(c1ccccc1)N1CCCCC1,129.0,[0]
C[C@@](C(=O)O[C@H]1C[N+]2(CCc3ccc4ccccc4c3)CCC1CC2)(c1ccccc1)N1CCCCC1,98.0,[0]
