smiles,value,target_id
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,[1.8195439355418688],[0]
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,"[0.43954153941060903, 1.3979400086720377]","[0, 6]"
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,"[0.43954153941060903, 1.3138672203691535]","[0, 6]"
C#CCn1c(=O)n(CC#N)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,[1.0],[0]
C#CCn1c(=O)n(Cc2cc(C)no2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,[1.8573324964312685],[0]
C#CCn1c(=O)n(Cc2cnc(C)s2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,[2.0],[0]
C#CCn1c(=O)n(Cc2cnn(C)c2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,[1.6232492903979006],[0]
C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,[0.9030899869919435],[0]
C#Cc1ccc([C@H](C)NC(=O)N(C)C2CCN(C3CCc4cc(-c5cc(C)ncn5)ccc43)CC2)c(Cl)c1Cl,[2.2177470732627937],[0]
C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1,"[1.568201724066995, 0.01]","[0, 4]"
C(#Cc1ncn2c1COc1ccccc1-2)c1cccnc1,[1.146128035678238],[0]
C/C(=C\c1nc(Cn2cnc3ncccc3c2=O)no1)c1ccc(Cl)cc1,[1.3979400086720377],[0]
C/C(=C\c1nc(Cn2cnc3ncn(C)c3c2=O)no1)c1ccc(Cl)cc1,[1.8808135922807914],[0]
C1=CCC(c2cc3ccccc3o2)CNC1,[1.919078092376074],[0]
C1=CCC(c2ccc3ccccc3c2)CNC1,[1.9731278535996988],[0]
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,"[0.43954153941060903, 1.2227164711475833]","[0, 6]"
C=C(c1ccc(OC(F)F)c(N)c1)c1cc(OC)c(OC)c(OC)c1,[1.863322860120456],[0]
C=C(c1ccc(OC)c(N)c1)c1cc(OC)c(OC)c(OC)c1,[1.662757831681574],[0]
C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cccc(C)c32)C1,[1.919078092376074],[0]
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,"[2.793518558859989, 0.004489955, 0.025, 0.005169137, 0.4628253669436156, 0.5435143701190727, 1.0835743513279175, 1.3114087246516963]","[0, 2, 3, 4, 5, 6, 7, 9]"
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc4ccccc4c3)c3c(N)ncnc32)C1,"[2.886490725172482, -0.2924298239020636, 1.9948473106363849]","[0, 6, 9]"
C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(F)(F)F)c3)c3c(N)ncnc32)C1,"[2.761927838420529, 2.2499490254808885]","[0, 9]"
C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc4ccccc34)c3c(N)ncnc32)C1,"[2.886490725172482, 1.1801792264269788]","[0, 9]"
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccccc3)c3c(N)ncnc32)C1,"[2.0863598306747484, 2.2057915369448295]","[0, 9]"
C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(C)c4ccccc34)c3c(N)ncnc32)C1,"[2.6646419755561257, -0.5228787452803376, 2.1647544816541986]","[0, 6, 9]"
C=CC(=O)N1CCC[C@@H](n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)C1,"[2.03342375548695, 2.2492401455200484]","[0, 9]"
C=CC(=O)N1CC[C@@H](COc2nc(=Nc3cnn(C)c3)[nH]c3[nH]cc(Cl)c23)C1,[0.0],[0]
C=CC(=O)N1CC[C@@H](COc2nc(=Nc3cnn(C)c3)[nH]c3[nH]ccc23)C1,[0.09497551307575157],[0]
C=CC(=O)N1C[C@@H](COc2nc(=Nc3cnn(C)c3)[nH]c3[nH]cc(Cl)c23)[C@H](OC)C1,[-0.27300127233517174],[0]
C=CC(=O)N1C[C@H](CO)[C@@H](COc2nc(=Nc3cnn(C)c3)[nH]c3[nH]cc(Cl)c23)C1,[-0.5392691613014706],[0]
C=CC(=O)N1C[C@H](COC)[C@@H](COc2nc(=Nc3cnn(C)c3)[nH]c3[nH]cc(Cl)c23)C1,[-0.2914846778521626],[0]
C=CC(=O)N1C[C@H](COc2nc(=Nc3cnn(C)c3)[nH]c3[nH]cc(Cl)c23)[C@@H](C(F)(F)F)C1,[-0.08501078982572553],[0]
C=CC(=O)N1C[C@H](COc2nc(=Nc3cnn(C)c3)[nH]c3[nH]cc(Cl)c23)[C@@H](OC)C1,[-0.3979400086720376],[0]
C=CC(=O)N1C[C@H](COc2nc(=Nc3cnn(C)c3)[nH]c3[nH]ccc23)[C@@H](C(F)(F)F)C1,[-0.23823916563748943],[0]
C=CC(=O)N1C[C@H](F)[C@@H](COc2nc(=Nc3cnn(C)c3)[nH]c3[nH]cc(Cl)c23)C1,[-0.20605448258822961],[0]
C=CC(=O)N1C[C@H](O)[C@@H](COc2nc(=Nc3cnn(C)c3)[nH]c3[nH]cc(Cl)c23)C1,[-0.5740312671848509],[0]
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,"[0.6127838567197355, 0.000544481, 0.0289999999999999, 0.28107881367363224, -1.0757207139381184, 0.8737580745457293, 2.1218856889787494]","[0, 2, 3, 5, 6, 7, 9]"
C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C)c4)c[nH]c3=N)nc3ccccc32)c1,[1.3802112417116061],[0]
C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C(=O)CN(C)C)CC5)c4)c[nH]c3=N)nc3ccccc32)c1,[1.8195439355418688],[0]
C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C(C)C)CC5)c4)c[nH]c3=N)nc3ccccc32)c1,[1.568201724066995],[0]
C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)c[nH]c3=N)nc3ccccc32)c1,[2.0791812460476247],[0]
C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)c[nH]c3=N)nc3ccncc32)c1,[1.8325089127062364],[0]
C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)c[nH]c3=N)nc3cnccc32)c1,[2.2278867046136734],[0]
C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(CC)CC5)c4)c[nH]c3=N)nc3ccccc32)c1,[2.294466226161593],[0]
C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(CCN5CCN(C)CC5)c4)c[nH]c3=N)nc3ccccc32)c1,[1.7781512503836436],[0]
C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(CCN5CCOCC5)c4)c[nH]c3=N)nc3ccccc32)c1,[2.4742162640762553],[0]
