smiles,value,target_id
O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,1.075766217,[5]
N=C(N)N/N=C/c1c(Cl)cccc1Cl,1.065765324,[5]
CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,1.042915606,[5]
CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,0.919283379,[5]
CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,1.111396365,[5]
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,1.212066688,[5]
CCCCCN=C(N)NN=Cc1c[nH]c2ccc(OC)cc12,0.984974514,[5]
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,1.457962147,[5]
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,1.206804122,[5]
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1.107244989,[5]
CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,0.833138279,[5]
Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,1.417198696,[5]
CSc1ccc(C=C2C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,1.375533272,[5]
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0.844924486,[5]
Cc1cc(C=CC#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,1.510343173,[5]
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,10.19392736,[5]
C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12,4.447094346,[5]
OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,1.058522085,[5]
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,1.594854513,[5]
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1.027507806,[5]
COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1,2.145412966,[5]
OCCN(CCc1c[nH]c2ccccc12)Cc1ccc(/C=C/C(O)=NO)cc1,7.35837552,[5]
N#CC(=Cc1ccc(O)c(O)c1)C(=O)Nc1ccccc1,0.512870429,[5]
CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1.511345766,[5]
CC(C)=c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1=CC[C@@H](O)C[C@@H](O)CC(=O)O,1.449288855,[5]
CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1.128764357,[5]
S=c1[nH]cnc2[nH]cnc12,0.869315417,[5]
CS(=O)(=O)OCCCCOS(C)(=O)=O,1.094783176,[5]
Cn1c(=O)c2[nH]cnc2n(C)c1=O,1.163131218,[5]
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0.769946136,[5]
Cc1ncc([N+](=O)[O-])n1CC(C)O,1.074065734,[5]
Nc1nc2ccc(OC(F)(F)F)cc2s1,1.308969529,[5]
CCc1cc(C(N)=S)ccn1,1.038562726,[5]
Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,0.881132467,[5]
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,0.904324455,[5]
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,1.096551437,[5]
Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,0.863957467,[5]
CCC(C(N)=O)N1CCCC1=O,1.306146309,[5]
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,1.024840918,[5]
O=S(=O)(N[C@H](CO)C(C(F)(F)F)C(F)(F)F)c1ccc(Cl)s1,1.051007236,[5]
CC(=O)Oc1ccccc1C(=O)O,1.141426262,[5]
Clc1cccc(Cl)c1NC1=NCCN1,0.859167471,[5]
N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,0.951418889,[5]
Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1,1.084511981,[5]
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],0.785746333,[5]
NCC1(CC(=O)O)CCCCC1,0.609054748,[5]
CN(C)c1nc(N(C)C)nc(N(C)C)n1,0.905974503,[5]
NC(=O)c1cn(Cc2c(F)cccc2F)nn1,0.989586798,[5]
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,1.512369848,[5]
NCC(CC(=O)O)c1ccc(Cl)cc1,1.492237771,[5]
CCOc1ccc(NC(C)=O)cc1,1.019370128,[5]
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,1.592851981,[5]
Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,1.52935472,[5]
CN=C(NC#N)NCCSCc1[nH]cnc1C,1.193081579,[5]
NC12CC3CC(CC(C3)C1)C2,0.816346681,[5]
CCCN[C@H]1CCc2nc(N)sc2C1,0.803891376,[5]
Cc1cc(=O)n(-c2ccccc2)n1C,1.08361402,[5]
C[C@H]1CNCCc2ccc(Cl)cc21,0.960765056,[5]
CCC(C(N)=O)(C(N)=O)c1ccccc1,1.117215964,[5]
CCC1C(=O)OC[C@@H]1Cc1cncn1C,0.834742821,[5]
CNC(C)(C)Cc1ccccc1,0.807558347,[5]
Cc1cccc(C)c1OCC(C)N,1.243020688,[5]
Nc1ncnc2c1ncn2Cc1c(F)cccc1Cl,0.874865311,[5]
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,1.038193368,[5]
Cc1ccc(=O)n(-c2ccccc2)c1,1.234301687,[5]
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1.316427453,[5]
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,5.893728976,[5]
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,1.319871045,[5]
C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,1.011405211,[5]
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0.672594485,[5]
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1.174172209,[5]
CC12CC3CC(C)(C1)CC(N)(C3)C2,0.93536152,[5]
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,1.578140526,[5]
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,1.210895095,[5]
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1.360869488,[5]
c1cnc2cc3c(cc2n1)C1CNCC3C1,0.999850517,[5]
Nc1c2c(nc3ccccc13)CCCC2,0.943115145,[5]
Cc1cccc([C@H](C)c2c[nH]cn2)c1C,0.917429863,[5]
C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,2.642578335,[5]
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,1.060886752,[5]
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,2.44517628,[5]
CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21,1.064587947,[5]
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1.029748635,[5]
O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,0.677289713,[5]
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,1.231124696,[5]
O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],1.155813458,[5]
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1.069101583,[5]
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,2.121628194,[5]
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,0.809001271,[5]
Cc1cnc(NC(=O)C2C(=O)c3ccccc3S(=O)(=O)N2C)s1,1.298725488,[5]
Clc1ccccc1CN1CCc2sccc2C1,0.990606977,[5]
COc1ccc2cc(C(C)C(=O)O)ccc2c1,1.13912459,[5]
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)[C@H]3SC2)s1,2.991168831,[5]
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,0.998472693,[5]
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,6.323131425,[5]
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1.108273031,[5]
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,4.875347921,[5]
CC(C)NCC(O)COc1cccc2[nH]ccc12,1.268606207,[5]
O=C(CCCCCCC(O)=NO)Nc1ccccc1,2.152646841,[5]
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,0.630281326,[5]
CCN(CC)CC(=O)Nc1c(C)cccc1C,1.231064148,[5]
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,2.814401335,[5]
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.978953356,[5]
NC(=O)N1c2ccccc2C=Cc2ccccc21,1.04011052,[5]
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0.983589186,[5]
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,0.743709174,[5]
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,1.170452035,[5]
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,1.871755166,[5]
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,1.010739349,[5]
COc1ccc2cccc(CCNC(C)=O)c2c1,0.849790809,[5]
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1.253084359,[5]
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.800086377,[5]
C=c1c(N)c(O)c2c(c1O)N1C[C@@H]3N[C@@H]3[C@]1(OC)C=2COC(N)=O,2.280463613,[5]
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,3.426545496,[5]
CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,1.030621184,[5]
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,20.92442607,[5]
CC1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1.183767029,[5]
C=CCc1ccccc1OCC(O)CNC(C)C,0.896187194,[5]
C=CCOc1ccccc1OCC(O)CNC(C)C,1.56803779,[5]
COCCc1ccc(OCC(O)CNC(C)C)cc1,1.293408805,[5]
CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)C(C(=O)O)C[C@H]1N=C(N)N,1.050628493,[5]
COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,0.761571487,[5]
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1.224100461,[5]
CC(c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,1.020472429,[5]
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1.493018772,[5]
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,0.515321473,[5]
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,7.833609649,[5]
Cc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,1.030366076,[5]
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,1.324995043,[5]
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,1.154400387,[5]
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1.031539981,[5]
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,1.264310834,[5]
CN(C)CCC(c1ccccc1)c1ccccn1,1.214401852,[5]
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,12.5852095,[5]
CC(C)NCC(O)COc1cccc2ccccc12,1.041119284,[5]
Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,2.043003887,[5]
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,0.83454559,[5]
CCCN(CCC)CCc1cccc2[nH]c(O)cc12,0.959038927,[5]
COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,1.131793346,[5]
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,2.371740555,[5]
CCOCC(O)COc1ccc([N-]C(=O)CC[S+](C)C)cc1,0.806172135,[5]
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,10.99594615,[5]
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1.321615371,[5]
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,1.066429872,[5]
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,1.186249881,[5]
CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,0.795815627,[5]
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,1.130206173,[5]
CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,1.029619799,[5]
O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,4.588490734,[5]
CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,1.610674468,[5]
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.858580649,[5]
