smiles,value,target_id
O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,11.59904635,[7]
N=C(N)N/N=C/c1c(Cl)cccc1Cl,118.1400074,[7]
CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.878652599,[7]
CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,1.643469739,[7]
CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,73.61364957,[7]
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,86.69206589,[7]
CCCCCN=C(N)NN=Cc1c[nH]c2ccc(OC)cc12,8.770277999,[7]
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,38.4777531,[7]
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,3.046313606,[7]
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0.530058283,[7]
CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,34.40360175,[7]
Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,138.9319583,[7]
CSc1ccc(C=C2C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,9.891764017,[7]
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,24.7027345,[7]
Cc1cc(C=CC#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,29.56335807,[7]
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,5.518825831,[7]
C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12,13.77214073,[7]
OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,6.465049062,[7]
Cc1ccc(-n2[nH]c(C)c(N=Nc3cccc(-c4cccc(C(=O)O)c4)c3O)c2=O)cc1C,0.0,[7]
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,6.579853556,[7]
