smiles,value,target_id
O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,0.62396833,[8]
CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.684659784,[8]
CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,0.660366074,[8]
CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,0.678418605,[8]
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,2.716602964,[8]
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0.698391443,[8]
CSc1ccc(C=C2C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,0.657092906,[8]
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0.835364842,[8]
Cc1cc(C=CC#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,0.647819265,[8]
C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12,1.070836886,[8]
Cc1ccc(-n2[nH]c(C)c(N=Nc3cccc(-c4cccc(C(=O)O)c4)c3O)c2=O)cc1C,0.502640708,[8]
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1.417799228,[8]
CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1.260474834,[8]
CC(C)=c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1=CC[C@@H](O)C[C@@H](O)CC(=O)O,0.976770847,[8]
CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,0.635900097,[8]
S=c1[nH]cnc2[nH]cnc12,1.37603169,[8]
CC(=O)NCCCS(=O)(=O)O,0.844421868,[8]
CS(=O)(=O)OCCCCOS(C)(=O)=O,1.119085427,[8]
Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.784400502,[8]
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2.874629206,[8]
Nc1nc2ccc(OC(F)(F)F)cc2s1,3.590959808,[8]
Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,1.190074996,[8]
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,1.281726666,[8]
CC(CS)C(=O)N1CCCC1C(=O)O,0.774608262,[8]
NCC1(CC(=O)O)CCCCC1,0.908161378,[8]
CN(C)c1nc(N(C)C)nc(N(C)C)n1,0.963521885,[8]
NCC(CC(=O)O)c1ccc(Cl)cc1,1.004667205,[8]
CCOc1ccc(NC(C)=O)cc1,1.063842047,[8]
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,1.044962732,[8]
Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,0.992807614,[8]
CCCN[C@H]1CCc2nc(N)sc2C1,1.622070822,[8]
Cc1cc(=O)n(-c2ccccc2)n1C,0.991515101,[8]
