smiles,value,target_id
Clc1ccc(-n2cc(NCCN3CCOCC3)nn2)cc1Cl,[1.7075701760979363],[6]
CCCC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccccc3)CC2)nc1C(F)F,[-1.0],[6]
CC(C)c1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,[0.8532925186092343],[6]
CCCCn1c2nc(C)ccc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,[0.9395192526186185],[6]
O=C1c2ncc3c(c(CCC(F)(F)F)cn3Cc3ccc(F)cc3)c2CCN1O,[1.0253058652647702],[6]
Cc1cc(COc2ccc(C(=O)NC3(CC(=O)NO)CCN(CCS(C)(=O)=O)CC3)cc2)c2ccccc2n1,[-0.09151498112135023],[6]
O=c1n(Cc2nc3ccccc3n2CCCCO)c2cnccc2n1C(F)F,[1.294466226161593],[6]
COc1cnc(-n2ccnn2)c2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12,[0.8920946026904804],[6]
Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ccncc2n1-c1ccccc1,[0.10380372095595687],[6]
C[C@@H](Oc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,[1.4913616938342726],[6]
COc1c(/C=C/c2ccc(NS(C)(=O)=O)cc2)cc(-c2ccc[nH]c2=O)cc1C(C)(C)CO,[-0.721246399047171],[6]
CCC[C@@H]1N(C(=O)c2cnccc2C(F)(F)F)CCC[C@]1(Oc1ccc(C(F)(F)F)cc1)C(=O)N1CCN(c2ccccc2OCCO)CC1,[0.9956351945975499],[6]
CC#Cc1cncc(-c2cc(C3(C4CC4)N=C(C)C(N)=N3)ccc2O)c1,[0.3010299956639812],[6]
Cn1c2c(c3cc(S(=O)(=O)c4c[nH]c5ccccc45)ccc31)C1CCC(C2)N1,[-0.18301342216670086],[6]
Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)s1,[1.6918768225593313],[6]
Cc1noc(C)c1CN(C1Cc2cc(C#N)ccc2N(Cc2cncn2C)C1)S(=O)(=O)c1ccccn1,[0.9030899869919435],[6]
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,[0.7160033436347992],[6]
O=C(O)Cc1cc(CC(=O)O)cc(-c2ccc(C#CCO)s2)c1,[-0.2924298239020636],[6]
N#Cc1cccnc1N1CCN(C(=O)c2cccc(C(F)(F)c3n[nH]c(=O)c4ccccc34)c2)CC1,[0.6989700043360189],[6]
CC1(C)CN(C(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c2ccccc21,[0.6020599913279624],[6]
NC(=O)n1cc(NC(=O)N2[C@H](C(=O)Nc3cccc(C(F)(F)F)n3)C[C@H]3C[C@H]32)c2ccccc21,[1.0530784434834197],[6]
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,[-1.4881166390211256],[6]
Cc1cc(COc2ccc(C(=O)N[C@@H]3CN(Cc4ccco4)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,[0.04139268515822508],[6]
