smiles,value,target_id
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,[0.034],[2]
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,[0.674161285],[2]
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,[0.090337133],[2]
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,[1.0],[2]
Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,[0.00050713],[2]
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,[0.3755],[2]
Cc1cc(C=CC#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,[0.001262762],[2]
COC1C(=O)C(C)C[C@H](C)/C=C/C=C/C=C(\C)[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCCC2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)C(C)=CC(C)[C@H]1O,[0.002913498],[2]
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,[0.025026142],[2]
Cc1nc(C)c(-c2ccc(C3CCC(CC(=O)O)CC3)cc2)nc1C(N)=O,[0.273847564],[2]
CCC(C(N)=O)N1CCCC1=O,[1.0],[2]
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[0.457481761],[2]
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,[0.054],[2]
CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)C(C(=O)O)C[C@H]1N=C(N)N,[0.621700071],[2]
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,[0.065157798],[2]
CN1[C@@H]2C[C@@H](OC(=O)C(CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,[0.796721084],[2]
CC(=O)NCCCS(=O)(=O)O,[0.893217141],[2]
CCCC1O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,[0.039946293],[2]
O=C(CCCCCCC(O)=NO)Nc1ccccc1,[0.712396379],[2]
CC[C@]12C=CCN3CC[C@@]4(c5ccc(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32,[0.066704377],[2]
Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1,[1.0],[2]
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,[0.321797712],[2]
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,[0.012653409],[2]
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,[0.406327302],[2]
OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,[0.039445194],[2]
